smiles,logP,logP_class,image_path
C[C@H](Cc1ccccc1F)C(=O)N[C@@H](CC(N)=O)C1CCCCC1,2.9448,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_0.png
Cc1nn(CC(C)C)c2sc(C(=O)N[C@H](C)c3ccccc3)cc12,4.55322,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_1.png
C[C@@H](NCc1c[nH+]cn1C1CC1)c1cccnc1,1.8829,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_2.png
O=C(NCc1ccccc1)c1csc(-n2cccc2)n1,2.8638,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_3.png
CC[C@@H](NC(=O)c1ccc(CN2C(=O)CCC2=O)cc1)c1ccc(Br)cc1,3.9792,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_4.png
CC[C@H](Nc1ncnc2c1CCCCC2)c1ccccc1,4.3087,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_5.png
CS[C@@H]1CC[C@H](NC(=O)c2cccc(I)c2)C1,3.3051,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_6.png
Cc1ccc(CNS(=O)(=O)c2ccc([N+](=O)[O-])cc2F)s1,2.58232,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_7.png
C[C@@H](C(=O)NC1CCCC1)N1CC[NH+](C2CCCCCCC2)CC1,1.7471,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_8.png
O=C(NNc1ccc(F)cc1Br)N[C@H]1CCN(CC(F)(F)F)C1,2.8509,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_9.png
Cc1sc2nc(C[NH+]3CCN(CC(=O)NCCC4=CCCCC4)CC3)[nH]c(=O)c2c1C,1.30864,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_10.png
CC1=C(c2cccc(Br)c2)S(=O)(=O)N=C1N1CCC2(CC1)OCCO2,2.7609,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_11.png
Cc1ccc([O-])c(CN[C@@H]2CCO[C@H]2c2ccc(Cl)c(F)c2)[nH+]1,2.29502,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_12.png
Cn1cc(C(=O)Nc2sccc2C(=O)NC2CC2)ccc1=O,1.5913,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_13.png
CC[NH2+][C@]1(CO)CC[C@H]([NH+](CC)CC(C)C)C1,-0.5859,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_14.png
Cn1nc(-c2ccc(C(=O)Nc3ccc(Cl)cc3)s2)cc1C(F)(F)F,5.0731,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_15.png
CCn1cnnc1CNC(=O)[C@@H](C)Oc1ccc(Cl)cc1Cl,2.6885,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_16.png
CCC[NH+]1CC2(CC[NH+](C)CC2)C[C@H]1C(=O)N1CCc2n[nH]cc2C1,-1.3435,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_17.png
CCOC[C@H]1CCCN(C(=O)[C@@H](c2ccccc2)[C@@H](C)CC)C1,4.0914,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_18.png
Cc1ccc(C(=O)Oc2ccc(N3C(=O)CCC3=O)c(C)c2)cc1,3.17604,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_19.png
CCc1nn(C)cc1NC(=O)N[C@@H]1CCC[C@H]1Cc1ccccc1,3.5154,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_20.png
Cc1ccc([C@H](C[NH3+])S(=O)(=O)c2ccc(F)cc2)cc1,1.89102,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_21.png
COc1ccccc1NC(=O)Nc1ccc(CN2CCN(c3cccc[nH+]3)CC2)cc1,3.4755,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_22.png
CN1C(=O)CN(S(C)(=O)=O)C[C@@]1(C)C(=O)NCC(=O)NCc1ccccc1,-1.0887,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_23.png
C[C@H](OC(=O)c1cccc(O)c1)C(=O)N1CCNC1=O,0.4893,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_24.png
COC(=O)/C=C1/S/C(=N\c2ccc(C(=O)[O-])cc2)N(Cc2ccc(F)cc2)C1=O,2.0092,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_25.png
O=[N+]([O-])c1ccc2[nH]nc(OCc3ccc(Cl)cc3)c2c1,3.7035,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_26.png
Cc1ccc(S(=O)(=O)N2CC[NH+](CC(=O)N/N=C\c3cccn3C)CC2)cc1,-0.62698,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_27.png
Cc1ccc(N2CCCC2=O)c(C(=O)Nc2cccc3cn[nH]c23)c1,3.25042,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_28.png
CSc1ccc([C@H]2C(C(=O)OC[C@H]3CCCO3)=C(C)NC3=C2C(=O)CCC3)cc1,4.0986,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_29.png
C[NH2+][C@@H](c1ccsc1)[C@@H]1C[NH+](C)CCN1C,-1.1889,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_30.png
O=C(CNC(=O)C1CCCC1)NCC1(CN2CCOCC2)CCCCC1,1.6917,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_31.png
CC(=O)c1cccc(NC(=O)[C@@H](OC(=O)[C@@]2(C)CC2(Cl)Cl)c2ccccc2)c1,4.6961,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_32.png
COC(=O)c1cccc(C(=O)N2C[C@H](C)S[C@@H](C)C2)n1,1.8342,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_33.png
COc1ccc([C@@H]2C[C@H](c3ccc(Cl)cc3)N(C(=O)C(C)C)c3ncnn32)cc1,4.6635,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_34.png
CS[C@@H](C)C[NH2+][C@@H](C)c1ccc(-n2cncn2)cc1Cl,2.2966,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_35.png
Cc1[nH]c2ccccc2c1CC(=O)OC[C@@H]1CN(CC(C)C)CCO1,2.91882,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_36.png
CC[NH2+]C/C=C/c1ccc(C(=O)OC)o1,0.6627,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_37.png
O=C1OC(c2ccc(Br)o2)=N/C1=C/c1coc2ccc(Cl)cc2c1=O,4.1464,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_38.png
CN(CC[NH+]1CCCC1)[C@@H](C(=O)Nc1ccccc1)c1ccccc1,1.9769,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_39.png
O=C(Nc1cccc(-c2nnco2)c1)N1CCCCC[C@@H]1c1ccncc1,4.2808,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_40.png
COC[C@@H](C)N1CCN(C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)CC1,1.8688,2,E:\IITB\SEM8\ME793\Drug Discovery\images\images_41.png
C[NH+](CCN1CCCC1=O)CC1=Cc2cc(Cl)ccc2OC1,1.2529,1,E:\IITB\SEM8\ME793\Drug Discovery\images\images_42.png
CC(C)N(C)S(=O)(=O)c1ccc(C(=O)Nc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,2.789,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_43.png
CN(C)c1ccc([C@@H](CNC(=O)C23CC4CC(CC(C4)C2)C3)[NH+]2CCCC2)cc1,2.805,3,E:\IITB\SEM8\ME793\Drug Discovery\images\images_44.png
Cc1cscc1[C@H]([NH3+])[C@@H]1CCOC2(CCSCC2)C1,3.03192,4,E:\IITB\SEM8\ME793\Drug Discovery\images\images_45.png
CC[C@H]1CN(C(=O)CCc2nc(C(C)(C)C)no2)CC[C@@H]1c1ccccc1,4.342,5,E:\IITB\SEM8\ME793\Drug Discovery\images\images_46.png
