smiles,logP,qed,SAS,logP_class,images
C[C@H](Cc1ccccc1F)C(=O)N[C@@H](CC(N)=O)C1CCCCC1,2.9448,0.797132586503,3.041717801914144,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F7FD0>
Cc1nn(CC(C)C)c2sc(C(=O)N[C@H](C)c3ccccc3)cc12,4.55322,0.707142616454,2.6469719254260244,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57FA57D0>
C[C@@H](NCc1c[nH+]cn1C1CC1)c1cccnc1,1.8829,0.8765816609200001,3.8685602128876058,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D63650>
O=C(NCc1ccccc1)c1csc(-n2cccc2)n1,2.8638,0.794008146842,2.0665238788334204,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D855D0>
CC[C@@H](NC(=O)c1ccc(CN2C(=O)CCC2=O)cc1)c1ccc(Br)cc1,3.9792,0.6823559583059999,2.494058587413249,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE559FEB50>
CC[C@H](Nc1ncnc2c1CCCCC2)c1ccccc1,4.3087,0.8135107044869999,2.6397397434607086,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6E950>
CS[C@@H]1CC[C@H](NC(=O)c2cccc(I)c2)C1,3.3051,0.822809205438,3.1054652422216265,4,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6D110>
Cc1ccc(CNS(=O)(=O)c2ccc([N+](=O)[O-])cc2F)s1,2.58232,0.6721658154610001,2.276040381565773,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6E890>
C[C@@H](C(=O)NC1CCCC1)N1CC[NH+](C2CCCCCCC2)CC1,1.7471,0.8267320485100002,3.797218512272013,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F7310>
O=C(NNc1ccc(F)cc1Br)N[C@H]1CCN(CC(F)(F)F)C1,2.8509,0.535494499482,3.000902184552533,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD2F6190>
Cc1sc2nc(C[NH+]3CCN(CC(=O)NCCC4=CCCCC4)CC3)[nH]c(=O)c2c1C,1.30864,0.5689722027340001,3.6113699093068057,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6D2D0>
CC1=C(c2cccc(Br)c2)S(=O)(=O)N=C1N1CCC2(CC1)OCCO2,2.7609,0.6859381447339999,3.35988106765938,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6F090>
Cc1ccc([O-])c(CN[C@@H]2CCO[C@H]2c2ccc(Cl)c(F)c2)[nH+]1,2.29502,0.933250033533,4.602827427437745,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6D390>
Cn1cc(C(=O)Nc2sccc2C(=O)NC2CC2)ccc1=O,1.5913,0.906445651648,2.275792714059392,2,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DE57D72110>
CC[NH2+][C@]1(CO)CC[C@H]([NH+](CC)CC(C)C)C1,-0.5859,0.573516831475,6.106247305619072,1,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD369C10>
Cn1nc(-c2ccc(C(=O)Nc3ccc(Cl)cc3)s2)cc1C(F)(F)F,5.0731,0.655951136647,2.296342206076309,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFEC6C9D0>
CCn1cnnc1CNC(=O)[C@@H](C)Oc1ccc(Cl)cc1Cl,2.6885,0.8718979718179999,2.7175923801868223,3,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=300x300 at 0x1DDFD36A390>
